geography,year,topic,category,sub_category,value_description,value
City of Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Spain,Count of persons,86.0
City of Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Netherlands,Count of persons,187.0
City of Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,54.0
City of Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,60.0
City of Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Kuwait,Count of persons,86.0
City of Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Fiji,Count of persons,98.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Indonesia,Count of persons,99.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,England,Count of persons,294.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Hong Kong (SAR of China),Count of persons,130.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Vietnam,Count of persons,298.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Taiwan,Count of persons,56.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Italy,Count of persons,97.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Philippines,Count of persons,43.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Colombia,Count of persons,22.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Ireland,Count of persons,60.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,46.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Ethiopia,Count of persons,106.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Chile,Count of persons,53.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Eritrea,Count of persons,75.0
North Melbourne,2011,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,3.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,China (excludes SARs and Taiwan),Count of persons,352.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,India,Count of persons,80.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Indonesia,Count of persons,36.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,108.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Italy,Count of persons,64.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Philippines,Count of persons,25.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,39.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Brazil,Count of persons,10.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Somalia,Count of persons,3.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,31.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,4.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Greece,Count of persons,27.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Egypt,Count of persons,9.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,0.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Sudan,Count of persons,3.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Fiji,Count of persons,9.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Born elsewhere,Count of persons,161.0
Parkville,2011,Residents: Ethnicity,Country of birth - detailed,Not stated,Count of persons,429.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,103.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Indonesia,Count of persons,61.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,36.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Hong Kong (SAR of China),Count of persons,32.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Thailand,Count of persons,26.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Philippines,Count of persons,35.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Colombia,Count of persons,5.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,France,Count of persons,30.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Somalia,Count of persons,0.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Ireland,Count of persons,51.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,45.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,3.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Spain,Count of persons,8.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Eritrea,Count of persons,0.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Poland,Count of persons,35.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,6.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Australia,Count of persons,3944.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,547.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,India,Count of persons,398.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Indonesia,Count of persons,757.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,215.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Hong Kong (SAR of China),Count of persons,183.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Italy,Count of persons,55.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,United States of America,Count of persons,118.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,57.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Iran,Count of persons,53.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Germany,Count of persons,60.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Saudi Arabia,Count of persons,97.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,South Africa,Count of persons,66.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Ethiopia,Count of persons,4.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Chile,Count of persons,10.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Turkey,Count of persons,18.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Spain,Count of persons,7.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Eritrea,Count of persons,0.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Poland,Count of persons,28.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Egypt,Count of persons,21.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Netherlands,Count of persons,33.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,3.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,10.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Kenya,Count of persons,9.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Kuwait,Count of persons,14.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Fiji,Count of persons,21.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Australia,Count of persons,1841.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,China (excludes SARs and Taiwan),Count of persons,202.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,134.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Indonesia,Count of persons,38.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,8.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Germany,Count of persons,19.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Canada,Count of persons,11.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Chile,Count of persons,4.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Turkey,Count of persons,5.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Mexico,Count of persons,7.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Greece,Count of persons,6.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Bangladesh,Count of persons,0.0
West Melbourne (Residential),2011,Residents: Ethnicity,Country of birth - detailed,Kuwait,Count of persons,3.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Australia,Count of persons,5215.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,"Korea, Republic of (South)",Count of persons,268.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,319.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Italy,Count of persons,254.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Japan,Count of persons,96.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,United States of America,Count of persons,148.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Saudi Arabia,Count of persons,28.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,South Africa,Count of persons,47.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Ireland,Count of persons,39.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,72.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Spain,Count of persons,43.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Eritrea,Count of persons,104.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Netherlands,Count of persons,38.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,94.0
Carlton,2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,25.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,China (excludes SARs and Taiwan),Count of persons,1796.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Hong Kong (SAR of China),Count of persons,141.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Philippines,Count of persons,99.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,46.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Chile,Count of persons,12.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Mexico,Count of persons,16.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Netherlands,Count of persons,22.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Sudan,Count of persons,5.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,3.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Kenya,Count of persons,6.0
Docklands,2016,Residents: Ethnicity,Country of birth - detailed,Born elsewhere,Count of persons,288.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Indonesia,Count of persons,13.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,England,Count of persons,212.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Thailand,Count of persons,14.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Taiwan,Count of persons,15.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Colombia,Count of persons,10.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,20.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Brazil,Count of persons,14.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Somalia,Count of persons,0.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Ethiopia,Count of persons,0.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Russian Federation,Count of persons,6.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Egypt,Count of persons,3.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,0.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Kuwait,Count of persons,0.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Fiji,Count of persons,7.0
East Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Born elsewhere,Count of persons,131.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,47642.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Indonesia,Count of persons,16996.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,England,Count of persons,133300.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,"Korea, Republic of (South)",Count of persons,14076.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,15355.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Japan,Count of persons,7871.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,54032.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Germany,Count of persons,20207.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Somalia,Count of persons,3840.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,South Africa,Count of persons,24167.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Mauritius,Count of persons,11363.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Greece,Count of persons,45617.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Egypt,Count of persons,12679.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Netherlands,Count of persons,12621.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Sudan,Count of persons,5223.0
Greater Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,13258.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,India,Count of persons,147.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,"Korea, Republic of (South)",Count of persons,41.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,63.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Vietnam,Count of persons,315.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Thailand,Count of persons,30.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Italy,Count of persons,112.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,United States of America,Count of persons,59.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Somalia,Count of persons,93.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Canada,Count of persons,46.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Saudi Arabia,Count of persons,5.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Ireland,Count of persons,72.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,35.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Mauritius,Count of persons,5.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Russian Federation,Count of persons,8.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Mexico,Count of persons,15.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Greece,Count of persons,31.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Poland,Count of persons,23.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Netherlands,Count of persons,14.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,United Arab Emirates,Count of persons,0.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Bangladesh,Count of persons,12.0
Kensington,2016,Residents: Ethnicity,Country of birth - detailed,Not stated,Count of persons,822.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,455.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,730.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Taiwan,Count of persons,925.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Italy,Count of persons,238.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Colombia,Count of persons,378.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Iran,Count of persons,92.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Somalia,Count of persons,0.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Canada,Count of persons,118.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Saudi Arabia,Count of persons,170.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,52.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Ethiopia,Count of persons,10.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Chile,Count of persons,61.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Eritrea,Count of persons,6.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,United Arab Emirates,Count of persons,50.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,68.0
Melbourne (CBD),2016,Residents: Ethnicity,Country of birth - detailed,Born elsewhere,Count of persons,868.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Australia,Count of persons,44439.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,India,Count of persons,6074.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,England,Count of persons,3141.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,"Korea, Republic of (South)",Count of persons,3118.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,2846.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,1963.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Hong Kong (SAR of China),Count of persons,1912.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Vietnam,Count of persons,1894.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Thailand,Count of persons,1740.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Japan,Count of persons,1104.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,United States of America,Count of persons,1092.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,674.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Brazil,Count of persons,624.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Iran,Count of persons,564.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Saudi Arabia,Count of persons,505.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Ireland,Count of persons,462.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,399.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Turkey,Count of persons,252.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Egypt,Count of persons,211.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,203.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,149.0
City of Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Born elsewhere,Count of persons,4239.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Australia,Count of persons,6230.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,450.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,321.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,France,Count of persons,48.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,South Africa,Count of persons,48.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Scotland,Count of persons,54.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Chile,Count of persons,49.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,19.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Poland,Count of persons,16.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,20.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Bangladesh,Count of persons,15.0
North Melbourne,2016,Residents: Ethnicity,Country of birth - detailed,Not stated,Count of persons,1907.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,271.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,169.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Hong Kong (SAR of China),Count of persons,82.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Vietnam,Count of persons,64.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Italy,Count of persons,66.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Japan,Count of persons,36.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,United States of America,Count of persons,72.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Colombia,Count of persons,26.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,54.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Brazil,Count of persons,20.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,France,Count of persons,23.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Saudi Arabia,Count of persons,13.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Mauritius,Count of persons,10.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,25.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Spain,Count of persons,11.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Mexico,Count of persons,14.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,5.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Kuwait,Count of persons,0.0
Parkville,2016,Residents: Ethnicity,Country of birth - detailed,Born elsewhere,Count of persons,237.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,76.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,India,Count of persons,137.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,England,Count of persons,298.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,"Korea, Republic of (South)",Count of persons,27.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,184.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Thailand,Count of persons,40.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Japan,Count of persons,47.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,United States of America,Count of persons,90.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Iran,Count of persons,26.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Germany,Count of persons,53.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Russian Federation,Count of persons,13.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,6.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Spain,Count of persons,11.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Mexico,Count of persons,9.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Greece,Count of persons,12.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Cambodia,Count of persons,8.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Kuwait,Count of persons,0.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Ethnicity,Country of birth - detailed,Born elsewhere,Count of persons,168.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Malaysia,Count of persons,775.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,India,Count of persons,856.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,573.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Hong Kong (SAR of China),Count of persons,249.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Vietnam,Count of persons,143.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Thailand,Count of persons,167.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Philippines,Count of persons,210.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,United States of America,Count of persons,155.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Sri Lanka,Count of persons,93.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,France,Count of persons,113.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Iran,Count of persons,118.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Somalia,Count of persons,6.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Saudi Arabia,Count of persons,146.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,South Africa,Count of persons,88.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Turkey,Count of persons,29.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,39.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Spain,Count of persons,35.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Mexico,Count of persons,48.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Poland,Count of persons,37.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Egypt,Count of persons,12.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Myanmar,Count of persons,11.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Sudan,Count of persons,3.0
Southbank,2016,Residents: Ethnicity,Country of birth - detailed,Bangladesh,Count of persons,27.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,England,Count of persons,120.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,"Korea, Republic of (South)",Count of persons,252.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,New Zealand,Count of persons,138.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,Singapore,Count of persons,61.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,Colombia,Count of persons,56.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,Brazil,Count of persons,43.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,France,Count of persons,33.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,Iran,Count of persons,21.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,South Africa,Count of persons,17.0
West Melbourne (Residential),2016,Residents: Ethnicity,Country of birth - detailed,Ireland,Count of persons,19.0
