Age,Gender,Geography,Year,Value
Age 15-19,Male,East Melbourne,2021,23
Age 15-19,Male,East Melbourne,2022,19
Age 15-19,Male,East Melbourne,2023,16
Age 15-19,Male,East Melbourne,2024,20
Age 15-19,Male,East Melbourne,2025,25
Age 15-19,Male,East Melbourne,2026,27
Age 15-19,Male,East Melbourne,2028,27
Age 15-19,Male,East Melbourne,2032,24
Age 15-19,Male,East Melbourne,2033,24
Age 20-24,Female,East Melbourne,2021,223
Age 20-24,Female,East Melbourne,2022,217
Age 20-24,Female,East Melbourne,2025,203
Age 20-24,Female,East Melbourne,2026,201
Age 20-24,Female,East Melbourne,2028,223
Age 20-24,Female,East Melbourne,2031,239
Age 20-24,Female,East Melbourne,2032,235
Age 20-24,Female,East Melbourne,2037,200
Age 20-24,Male,East Melbourne,2022,188
Age 20-24,Male,East Melbourne,2023,168
Age 20-24,Male,East Melbourne,2027,186
Age 20-24,Male,East Melbourne,2031,208
Age 20-24,Male,East Melbourne,2035,187
Age 20-24,Male,East Melbourne,2037,178
Age 20-24,Male,East Melbourne,2039,171
Age 25-29,Female,East Melbourne,2021,515
Age 25-29,Female,East Melbourne,2022,489
Age 25-29,Female,East Melbourne,2023,463
Age 25-29,Female,East Melbourne,2024,465
Age 25-29,Female,East Melbourne,2025,476
Age 25-29,Female,East Melbourne,2028,553
Age 25-29,Female,East Melbourne,2035,552
Age 25-29,Female,East Melbourne,2037,517
Age 25-29,Female,East Melbourne,2040,467
Age 25-29,Male,East Melbourne,2022,384
Age 25-29,Male,East Melbourne,2025,373
Age 25-29,Male,East Melbourne,2026,402
Age 25-29,Male,East Melbourne,2030,432
Age 25-29,Male,East Melbourne,2031,417
Age 25-29,Male,East Melbourne,2035,437
Age 25-29,Male,East Melbourne,2037,410
Age 25-29,Male,East Melbourne,2039,382
Age 25-29,Male,East Melbourne,2040,369
Age 25-29,Male,East Melbourne,2041,358
Age 30-34,Female,East Melbourne,2022,417
Age 30-34,Female,East Melbourne,2023,432
Age 30-34,Female,East Melbourne,2024,472
Age 30-34,Female,East Melbourne,2026,548
Age 30-34,Female,East Melbourne,2028,547
Age 30-34,Female,East Melbourne,2029,536
Age 30-34,Female,East Melbourne,2031,566
Age 30-34,Female,East Melbourne,2032,575
Age 30-34,Female,East Melbourne,2033,575
Age 30-34,Female,East Melbourne,2035,532
Age 30-34,Female,East Melbourne,2036,508
Age 30-34,Female,East Melbourne,2038,512
Age 30-34,Male,East Melbourne,2022,323
Age 30-34,Male,East Melbourne,2023,333
Age 30-34,Male,East Melbourne,2027,428
Age 30-34,Male,East Melbourne,2028,429
Age 30-34,Male,East Melbourne,2030,419
Age 30-34,Male,East Melbourne,2032,448
Age 35-39,Female,East Melbourne,2021,245
Age 35-39,Female,East Melbourne,2025,340
Age 35-39,Female,East Melbourne,2026,369
Age 35-39,Female,East Melbourne,2028,430
Age 35-39,Female,East Melbourne,2031,513
Age 35-39,Female,East Melbourne,2035,462
Age 35-39,Female,East Melbourne,2039,446
Age 35-39,Male,East Melbourne,2026,419
Age 35-39,Male,East Melbourne,2028,491
Age 35-39,Male,East Melbourne,2033,561
Age 35-39,Male,East Melbourne,2034,540
Age 35-39,Male,East Melbourne,2035,522
Age 35-39,Male,East Melbourne,2040,486
Age 35-39,Male,East Melbourne,2041,455
Age 40-44,Female,East Melbourne,2024,189
Age 40-44,Female,East Melbourne,2027,276
Age 40-44,Female,East Melbourne,2029,323
Age 40-44,Female,East Melbourne,2033,413
Age 40-44,Female,East Melbourne,2034,439
Age 40-44,Female,East Melbourne,2037,421
Age 40-44,Female,East Melbourne,2038,421
Age 40-44,Male,East Melbourne,2027,269
Age 40-44,Male,East Melbourne,2029,314
Age 40-44,Male,East Melbourne,2030,334
Age 40-44,Male,East Melbourne,2031,354
Age 40-44,Male,East Melbourne,2034,429
Age 40-44,Male,East Melbourne,2039,403
Age 45-49,Female,East Melbourne,2022,136
Age 45-49,Female,East Melbourne,2028,213
Age 45-49,Female,East Melbourne,2029,235
Age 45-49,Male,East Melbourne,2022,142
Age 45-49,Male,East Melbourne,2029,244
Age 45-49,Male,East Melbourne,2031,301
Age 45-49,Male,East Melbourne,2034,373
Age 45-49,Male,East Melbourne,2036,399
Age 45-49,Male,East Melbourne,2039,458
Age 45-49,Male,East Melbourne,2040,475
Age 50-54,Female,East Melbourne,2022,133
Age 50-54,Female,East Melbourne,2024,140
Age 50-54,Female,East Melbourne,2026,158
Age 50-54,Female,East Melbourne,2030,201
Age 50-54,Female,East Melbourne,2033,245
Age 50-54,Female,East Melbourne,2034,261
Age 50-54,Female,East Melbourne,2039,373
Age 50-54,Female,East Melbourne,2040,391
Age 50-54,Male,East Melbourne,2021,135
Age 50-54,Male,East Melbourne,2026,164
Age 50-54,Male,East Melbourne,2032,229
Age 50-54,Male,East Melbourne,2034,267
Age 50-54,Male,East Melbourne,2035,290
Age 50-54,Male,East Melbourne,2037,334
Age 55-59,Female,East Melbourne,2033,224
Age 55-59,Female,East Melbourne,2039,294
Age 55-59,Female,East Melbourne,2040,321
Age 55-59,Male,East Melbourne,2022,123
Age 55-59,Male,East Melbourne,2026,131
Age 55-59,Male,East Melbourne,2028,138
Age 55-59,Male,East Melbourne,2035,176
Age 55-59,Male,East Melbourne,2036,180
Age 55-59,Male,East Melbourne,2038,202
Age 55-59,Male,East Melbourne,2039,214
Age 55-59,Male,East Melbourne,2040,234
Age 55-59,Male,East Melbourne,2041,254
Age 60-64,Female,East Melbourne,2024,201
Age 60-64,Female,East Melbourne,2027,205
Age 60-64,Female,East Melbourne,2034,210
Age 60-64,Female,East Melbourne,2036,220
Age 60-64,Female,East Melbourne,2040,238
Age 60-64,Male,East Melbourne,2021,129
Age 60-64,Male,East Melbourne,2023,129
Age 60-64,Male,East Melbourne,2027,136
Age 60-64,Male,East Melbourne,2029,139
Age 60-64,Male,East Melbourne,2031,137
Age 60-64,Male,East Melbourne,2036,146
Age 60-64,Male,East Melbourne,2037,150
Age 60-64,Male,East Melbourne,2041,163
Age 65-69,Female,East Melbourne,2026,186
Age 65-69,Female,East Melbourne,2027,191
Age 65-69,Female,East Melbourne,2029,191
Age 65-69,Female,East Melbourne,2032,188
Age 65-69,Female,East Melbourne,2034,188
Age 65-69,Female,East Melbourne,2037,172
Age 65-69,Female,East Melbourne,2038,172
Age 65-69,Female,East Melbourne,2039,167
Age 65-69,Male,East Melbourne,2024,152
Age 65-69,Male,East Melbourne,2026,153
Age 65-69,Male,East Melbourne,2027,157
Age 65-69,Male,East Melbourne,2028,157
Age 65-69,Male,East Melbourne,2030,151
Age 65-69,Male,East Melbourne,2032,156
Age 65-69,Male,East Melbourne,2033,156
Age 65-69,Male,East Melbourne,2038,142
Age 65-69,Male,East Melbourne,2041,144
Age 70-74,Female,East Melbourne,2021,169
Age 70-74,Female,East Melbourne,2027,206
Age 70-74,Female,East Melbourne,2028,211
Age 70-74,Female,East Melbourne,2031,208
Age 70-74,Male,East Melbourne,2022,139
Age 70-74,Male,East Melbourne,2024,145
Age 70-74,Male,East Melbourne,2031,157
Age 70-74,Male,East Melbourne,2032,159
Age 70-74,Male,East Melbourne,2033,158
Age 70-74,Male,East Melbourne,2035,146
Age 70-74,Male,East Melbourne,2039,134
Age 75-79,Female,East Melbourne,2021,27
Age 75-79,Female,East Melbourne,2023,40
Age 75-79,Female,East Melbourne,2025,69
Age 75-79,Female,East Melbourne,2026,79
Age 75-79,Female,East Melbourne,2031,86
Age 75-79,Female,East Melbourne,2039,76
Age 75-79,Female,East Melbourne,2040,71
Age 75-79,Male,East Melbourne,2021,45
Age 75-79,Male,East Melbourne,2024,91
Age 75-79,Male,East Melbourne,2028,135
Age 75-79,Male,East Melbourne,2031,141
Age 75-79,Male,East Melbourne,2032,140
Age 75-79,Male,East Melbourne,2033,141
Age 75-79,Male,East Melbourne,2034,137
Age 75-79,Male,East Melbourne,2039,120
Age 80-84,Female,East Melbourne,2021,19
Age 80-84,Female,East Melbourne,2026,32
Age 80-84,Female,East Melbourne,2028,46
Age 80-84,Female,East Melbourne,2038,60
Age 80-84,Female,East Melbourne,2041,54
Age 80-84,Male,East Melbourne,2026,14
Age 80-84,Male,East Melbourne,2027,16
Age 80-84,Male,East Melbourne,2033,36
Age 80-84,Male,East Melbourne,2037,34
Age 80-84,Male,East Melbourne,2040,32
Age 85+,Female,East Melbourne,2022,28
Age 85+,Female,East Melbourne,2023,30
Age 85+,Female,East Melbourne,2026,36
Age 85+,Female,East Melbourne,2028,42
Age 85+,Female,East Melbourne,2029,45
Age 85+,Female,East Melbourne,2031,51
Age 85+,Female,East Melbourne,2034,78
Age 85+,Female,East Melbourne,2036,96
Age 85+,Male,East Melbourne,2024,19
Age 85+,Male,East Melbourne,2028,25
Age 85+,Male,East Melbourne,2029,26
Age 85+,Male,East Melbourne,2033,41
Age 85+,Male,East Melbourne,2034,47
Age 85+,Male,East Melbourne,2037,62
Age 85+,Male,East Melbourne,2038,64
Age 0-4,Female,Kensington,2023,348
Age 0-4,Female,Kensington,2029,559
Age 0-4,Female,Kensington,2034,612
Age 0-4,Female,Kensington,2035,602
Age 0-4,Female,Kensington,2037,589
Age 0-4,Male,Kensington,2027,624
Age 0-4,Male,Kensington,2028,653
Age 0-4,Male,Kensington,2029,680
Age 0-4,Male,Kensington,2031,721
Age 0-4,Male,Kensington,2033,753
Age 0-4,Male,Kensington,2040,714
Age 5-9,Female,Kensington,2021,249
Age 5-9,Female,Kensington,2025,244
Age 5-9,Female,Kensington,2028,337
Age 5-9,Female,Kensington,2033,508
Age 5-9,Female,Kensington,2034,516
Age 5-9,Female,Kensington,2035,524
Age 5-9,Female,Kensington,2036,532
Age 5-9,Female,Kensington,2037,539
Age 5-9,Female,Kensington,2038,543
Age 5-9,Male,Kensington,2025,307
Age 5-9,Male,Kensington,2026,322
Age 5-9,Male,Kensington,2028,437
Age 5-9,Male,Kensington,2031,611
Age 5-9,Male,Kensington,2033,664
Age 5-9,Male,Kensington,2034,673
Age 5-9,Male,Kensington,2035,681
Age 5-9,Male,Kensington,2037,697
Age 5-9,Male,Kensington,2038,700
Age 5-9,Male,Kensington,2039,700
Age 5-9,Male,Kensington,2040,701
Age 10-14,Female,Kensington,2021,162
Age 10-14,Female,Kensington,2023,145
Age 10-14,Female,Kensington,2026,136
Age 10-14,Female,Kensington,2028,124
Age 10-14,Female,Kensington,2032,155
Age 10-14,Female,Kensington,2033,186
Age 10-14,Female,Kensington,2034,211
Age 10-14,Female,Kensington,2040,309
Age 10-14,Female,Kensington,2041,312
Age 10-14,Male,Kensington,2023,239
Age 10-14,Male,Kensington,2025,226
Age 10-14,Male,Kensington,2026,224
Age 10-14,Male,Kensington,2029,205
Age 10-14,Male,Kensington,2034,349
Age 10-14,Male,Kensington,2035,385
Age 10-14,Male,Kensington,2040,501
Age 15-19,Female,Kensington,2021,96
Age 15-19,Female,Kensington,2022,88
Age 15-19,Female,Kensington,2024,87
Age 15-19,Female,Kensington,2026,102
Age 15-19,Female,Kensington,2029,100
Age 15-19,Female,Kensington,2033,86
Age 15-19,Female,Kensington,2034,86
Age 15-19,Female,Kensington,2036,86
Age 15-19,Female,Kensington,2037,96
Age 15-19,Female,Kensington,2038,107
Age 15-19,Female,Kensington,2040,120
Age 15-19,Male,Kensington,2022,107
Age 15-19,Male,Kensington,2023,105
Age 15-19,Male,Kensington,2024,114
Age 15-19,Male,Kensington,2025,123
Age 15-19,Male,Kensington,2031,111
Age 15-19,Male,Kensington,2032,106
Age 15-19,Male,Kensington,2034,97
Age 15-19,Male,Kensington,2035,93
Age 15-19,Male,Kensington,2036,96
Age 15-19,Male,Kensington,2037,112
Age 15-19,Male,Kensington,2038,127
Age 15-19,Male,Kensington,2040,142
Age 15-19,Male,Kensington,2041,146
Age 20-24,Female,Kensington,2021,367
Age 20-24,Female,Kensington,2022,353
Age 20-24,Female,Kensington,2028,345
Age 20-24,Female,Kensington,2029,360
Age 20-24,Female,Kensington,2031,366
Age 20-24,Female,Kensington,2036,316
Age 20-24,Female,Kensington,2038,306
Age 20-24,Male,Kensington,2023,335
Age 20-24,Male,Kensington,2024,322
Age 20-24,Male,Kensington,2033,373
Age 20-24,Male,Kensington,2040,324
Age 25-29,Female,Kensington,2021,948
Age 25-29,Female,Kensington,2027,922
Age 25-29,Female,Kensington,2028,935
Age 25-29,Female,Kensington,2029,941
Age 25-29,Female,Kensington,2031,881
Age 25-29,Female,Kensington,2034,913
Age 25-29,Female,Kensington,2037,855
Age 25-29,Female,Kensington,2040,786
Age 25-29,Male,Kensington,2023,740
Age 25-29,Male,Kensington,2024,714
Age 25-29,Male,Kensington,2025,721
Age 25-29,Male,Kensington,2029,836
Age 25-29,Male,Kensington,2030,815
Age 25-29,Male,Kensington,2031,781
Age 25-29,Male,Kensington,2036,784
Age 25-29,Male,Kensington,2038,739
Age 25-29,Male,Kensington,2041,679
Age 30-34,Female,Kensington,2029,1167
Age 30-34,Female,Kensington,2033,1211
Age 30-34,Female,Kensington,2036,1054
Age 30-34,Female,Kensington,2039,1084
Age 30-34,Male,Kensington,2021,712
Age 30-34,Male,Kensington,2024,789
Age 30-34,Male,Kensington,2027,899
Age 30-34,Male,Kensington,2030,875
Age 30-34,Male,Kensington,2034,890
Age 30-34,Male,Kensington,2037,797
Age 30-34,Male,Kensington,2040,816
Age 35-39,Female,Kensington,2023,702
Age 35-39,Female,Kensington,2036,1044
Age 35-39,Male,Kensington,2021,634
Age 35-39,Male,Kensington,2023,715
Age 35-39,Male,Kensington,2025,827
Age 35-39,Male,Kensington,2028,1024
Age 35-39,Male,Kensington,2031,1191
Age 35-39,Male,Kensington,2036,1081
Age 35-39,Male,Kensington,2039,1058
Age 35-39,Male,Kensington,2041,943
Age 40-44,Female,Kensington,2023,540
Age 40-44,Female,Kensington,2026,766
Age 40-44,Female,Kensington,2028,905
Age 40-44,Female,Kensington,2030,1030
Age 40-44,Female,Kensington,2035,1335
Age 40-44,Female,Kensington,2040,1197
Age 40-44,Female,Kensington,2041,1258
Age 40-44,Male,Kensington,2022,458
Age 40-44,Male,Kensington,2025,615
Age 40-44,Male,Kensington,2027,755
Age 40-44,Male,Kensington,2029,891
Age 40-44,Male,Kensington,2032,1042
Age 40-44,Male,Kensington,2036,1232
Age 40-44,Male,Kensington,2038,1158
Age 45-49,Female,Kensington,2023,344
Age 45-49,Female,Kensington,2025,385
Age 45-49,Female,Kensington,2028,489
Age 45-49,Female,Kensington,2032,712
Age 45-49,Female,Kensington,2035,830
Age 45-49,Female,Kensington,2036,859
Age 45-49,Female,Kensington,2037,905
Age 45-49,Female,Kensington,2041,1098
Age 45-49,Male,Kensington,2025,418
Age 45-49,Male,Kensington,2026,441
Age 45-49,Male,Kensington,2028,525
Age 45-49,Male,Kensington,2029,574
Age 45-49,Male,Kensington,2033,804
Age 45-49,Male,Kensington,2037,943
Age 45-49,Male,Kensington,2039,1063
Age 45-49,Male,Kensington,2040,1108
Age 50-54,Female,Kensington,2021,236
Age 50-54,Female,Kensington,2022,234
Age 50-54,Female,Kensington,2024,235
Age 50-54,Female,Kensington,2025,247
Age 50-54,Female,Kensington,2026,256
Age 50-54,Female,Kensington,2027,276
Age 50-54,Female,Kensington,2028,286
Age 50-54,Female,Kensington,2029,297
Age 50-54,Female,Kensington,2030,318
Age 50-54,Female,Kensington,2033,379
Age 50-54,Female,Kensington,2036,482
Age 50-54,Male,Kensington,2023,181
Age 50-54,Male,Kensington,2025,187
Age 50-54,Male,Kensington,2032,267
Age 50-54,Male,Kensington,2034,306
Age 50-54,Male,Kensington,2036,365
Age 50-54,Male,Kensington,2037,387
Age 50-54,Male,Kensington,2041,492
Age 55-59,Female,Kensington,2021,244
Age 55-59,Female,Kensington,2022,238
Age 55-59,Female,Kensington,2031,254
Age 55-59,Female,Kensington,2032,276
Age 55-59,Female,Kensington,2035,293
Age 55-59,Female,Kensington,2036,292
Age 55-59,Female,Kensington,2040,402
Age 55-59,Female,Kensington,2041,442
Age 55-59,Male,Kensington,2022,243
Age 55-59,Male,Kensington,2030,263
Age 55-59,Male,Kensington,2031,273
Age 55-59,Male,Kensington,2032,285
Age 55-59,Male,Kensington,2033,291
Age 55-59,Male,Kensington,2038,356
Age 60-64,Female,Kensington,2021,196
Age 60-64,Female,Kensington,2025,186
Age 60-64,Female,Kensington,2029,189
Age 60-64,Female,Kensington,2032,185
Age 60-64,Female,Kensington,2034,186
Age 60-64,Female,Kensington,2035,189
Age 60-64,Female,Kensington,2038,202
Age 60-64,Male,Kensington,2023,219
Age 60-64,Male,Kensington,2027,213
Age 60-64,Male,Kensington,2031,208
Age 60-64,Male,Kensington,2033,216
Age 60-64,Male,Kensington,2036,223
Age 60-64,Male,Kensington,2037,233
Age 60-64,Male,Kensington,2041,267
Age 65-69,Female,Kensington,2023,192
Age 65-69,Female,Kensington,2024,190
Age 65-69,Female,Kensington,2026,186
Age 65-69,Female,Kensington,2027,189
Age 65-69,Female,Kensington,2028,189
Age 65-69,Female,Kensington,2040,184
Age 65-69,Male,Kensington,2021,117
Age 65-69,Male,Kensington,2022,118
Age 65-69,Male,Kensington,2029,115
Age 65-69,Male,Kensington,2031,110
Age 65-69,Male,Kensington,2038,106
Age 70-74,Female,Kensington,2022,157
Age 70-74,Female,Kensington,2025,164
Age 70-74,Female,Kensington,2026,163
Age 70-74,Female,Kensington,2027,162
Age 70-74,Female,Kensington,2028,167
Age 70-74,Female,Kensington,2031,164
Age 70-74,Female,Kensington,2032,167
Age 70-74,Male,Kensington,2029,104
Age 70-74,Male,Kensington,2032,106
Age 70-74,Male,Kensington,2036,101
Age 70-74,Male,Kensington,2037,96
Age 75-79,Female,Kensington,2021,39
Age 75-79,Female,Kensington,2028,116
Age 75-79,Female,Kensington,2033,118
Age 75-79,Female,Kensington,2035,111
Age 75-79,Female,Kensington,2038,104
Age 75-79,Female,Kensington,2040,102
Age 75-79,Male,Kensington,2022,59
Age 75-79,Male,Kensington,2023,75
Age 75-79,Male,Kensington,2026,123
Age 75-79,Male,Kensington,2027,129
Age 75-79,Male,Kensington,2031,140
Age 75-79,Male,Kensington,2035,137
Age 75-79,Male,Kensington,2037,127
Age 75-79,Male,Kensington,2039,122
Age 75-79,Male,Kensington,2040,119
Age 75-79,Male,Kensington,2041,119
Age 80-84,Female,Kensington,2026,65
Age 80-84,Female,Kensington,2032,147
Age 80-84,Female,Kensington,2036,133
Age 80-84,Male,Kensington,2025,51
Age 80-84,Male,Kensington,2026,53
Age 80-84,Male,Kensington,2032,111
Age 80-84,Male,Kensington,2035,99
Age 85+,Female,Kensington,2022,32
Age 85+,Female,Kensington,2024,35
Age 85+,Female,Kensington,2027,40
Age 85+,Female,Kensington,2028,42
Age 85+,Female,Kensington,2032,58
Age 85+,Female,Kensington,2035,81
Age 85+,Female,Kensington,2037,94
Age 85+,Female,Kensington,2038,98
Age 85+,Female,Kensington,2040,107
Age 85+,Male,Kensington,2022,17
Age 85+,Male,Kensington,2024,18
Age 85+,Male,Kensington,2026,20
Age 85+,Male,Kensington,2028,22
Age 85+,Male,Kensington,2029,23
Age 85+,Male,Kensington,2039,51
Age 0-4,Female,Melbourne (CBD),2021,343
Age 0-4,Female,Melbourne (CBD),2023,465
Age 0-4,Female,Melbourne (CBD),2025,606
Age 0-4,Female,Melbourne (CBD),2026,684
Age 0-4,Female,Melbourne (CBD),2028,793
Age 0-4,Female,Melbourne (CBD),2029,843
Age 0-4,Female,Melbourne (CBD),2031,943
Age 0-4,Female,Melbourne (CBD),2033,1032
Age 0-4,Female,Melbourne (CBD),2036,1099
Age 0-4,Female,Melbourne (CBD),2039,1176
Age 0-4,Female,Melbourne (CBD),2040,1193
Age 0-4,Female,Melbourne (CBD),2041,1212
Age 0-4,Male,Melbourne (CBD),2022,427
Age 0-4,Male,Melbourne (CBD),2030,972
Age 0-4,Male,Melbourne (CBD),2032,1080
Age 0-4,Male,Melbourne (CBD),2035,1210
Age 0-4,Male,Melbourne (CBD),2038,1330
Age 5-9,Female,Melbourne (CBD),2023,172
Age 5-9,Female,Melbourne (CBD),2024,178
Age 5-9,Female,Melbourne (CBD),2032,481
Age 5-9,Female,Melbourne (CBD),2035,586
Age 5-9,Female,Melbourne (CBD),2038,702
Age 5-9,Female,Melbourne (CBD),2039,736
Age 5-9,Female,Melbourne (CBD),2041,788
Age 5-9,Male,Melbourne (CBD),2021,163
Age 5-9,Male,Melbourne (CBD),2024,175
Age 5-9,Male,Melbourne (CBD),2027,256
Age 5-9,Male,Melbourne (CBD),2028,308
Age 5-9,Male,Melbourne (CBD),2030,412
Age 5-9,Male,Melbourne (CBD),2032,496
Age 5-9,Male,Melbourne (CBD),2035,605
Age 5-9,Male,Melbourne (CBD),2039,761
Age 10-14,Female,Melbourne (CBD),2027,101
Age 10-14,Female,Melbourne (CBD),2031,105
Age 10-14,Female,Melbourne (CBD),2033,168
Age 10-14,Female,Melbourne (CBD),2034,197
Age 10-14,Female,Melbourne (CBD),2035,233
Age 10-14,Female,Melbourne (CBD),2036,280
Age 10-14,Female,Melbourne (CBD),2040,383
Age 10-14,Female,Melbourne (CBD),2041,411
Age 10-14,Male,Melbourne (CBD),2021,111
Age 10-14,Male,Melbourne (CBD),2023,109
Age 10-14,Male,Melbourne (CBD),2026,119
Age 10-14,Male,Melbourne (CBD),2031,138
Age 10-14,Male,Melbourne (CBD),2034,256
Age 10-14,Male,Melbourne (CBD),2035,295
Age 10-14,Male,Melbourne (CBD),2041,472
Age 15-19,Female,Melbourne (CBD),2023,1275
Age 15-19,Female,Melbourne (CBD),2027,2190
Age 15-19,Female,Melbourne (CBD),2035,2132
Age 15-19,Female,Melbourne (CBD),2041,2701
Age 15-19,Male,Melbourne (CBD),2024,1445
Age 15-19,Male,Melbourne (CBD),2026,1965
Age 15-19,Male,Melbourne (CBD),2029,2031
Age 15-19,Male,Melbourne (CBD),2032,2038
Age 15-19,Male,Melbourne (CBD),2033,2039
Age 15-19,Male,Melbourne (CBD),2036,2010
Age 15-19,Male,Melbourne (CBD),2038,2163
Age 15-19,Male,Melbourne (CBD),2040,2373
Age 20-24,Female,Melbourne (CBD),2021,7197
Age 20-24,Female,Melbourne (CBD),2022,7077
Age 20-24,Female,Melbourne (CBD),2025,6926
Age 20-24,Female,Melbourne (CBD),2028,8221
Age 20-24,Female,Melbourne (CBD),2032,9211
Age 20-24,Female,Melbourne (CBD),2035,9054
Age 20-24,Female,Melbourne (CBD),2038,9060
Age 20-24,Female,Melbourne (CBD),2041,9248
Age 20-24,Male,Melbourne (CBD),2022,6305
Age 20-24,Male,Melbourne (CBD),2023,5897
Age 20-24,Male,Melbourne (CBD),2024,5962
Age 20-24,Male,Melbourne (CBD),2027,6883
Age 20-24,Male,Melbourne (CBD),2029,7774
Age 20-24,Male,Melbourne (CBD),2031,8234
Age 20-24,Male,Melbourne (CBD),2034,8250
Age 20-24,Male,Melbourne (CBD),2038,8240
Age 20-24,Male,Melbourne (CBD),2039,8310
Age 25-29,Female,Melbourne (CBD),2021,5713
Age 25-29,Female,Melbourne (CBD),2029,7281
Age 25-29,Female,Melbourne (CBD),2031,7345
Age 25-29,Female,Melbourne (CBD),2032,7668
Age 25-29,Female,Melbourne (CBD),2036,8507
Age 25-29,Female,Melbourne (CBD),2038,8409
Age 25-29,Female,Melbourne (CBD),2041,8259
Age 25-29,Male,Melbourne (CBD),2027,6518
Age 25-29,Male,Melbourne (CBD),2028,6729
Age 25-29,Male,Melbourne (CBD),2029,6830
Age 25-29,Male,Melbourne (CBD),2030,6909
Age 25-29,Male,Melbourne (CBD),2041,7850
Age 30-34,Female,Melbourne (CBD),2024,3740
Age 30-34,Female,Melbourne (CBD),2025,4073
Age 30-34,Female,Melbourne (CBD),2027,4379
Age 30-34,Female,Melbourne (CBD),2030,4651
Age 30-34,Female,Melbourne (CBD),2031,4956
Age 30-34,Female,Melbourne (CBD),2034,5226
Age 30-34,Female,Melbourne (CBD),2035,5184
Age 30-34,Female,Melbourne (CBD),2037,5296
Age 30-34,Female,Melbourne (CBD),2038,5469
Age 30-34,Male,Melbourne (CBD),2023,3593
Age 30-34,Male,Melbourne (CBD),2025,4333
Age 30-34,Male,Melbourne (CBD),2029,4795
Age 30-34,Male,Melbourne (CBD),2030,4937
Age 30-34,Male,Melbourne (CBD),2031,5229
Age 30-34,Male,Melbourne (CBD),2036,5391
Age 30-34,Male,Melbourne (CBD),2037,5606
Age 30-34,Male,Melbourne (CBD),2039,5972
Age 30-34,Male,Melbourne (CBD),2041,6025
Age 35-39,Female,Melbourne (CBD),2021,1264
Age 35-39,Female,Melbourne (CBD),2025,1956
Age 35-39,Female,Melbourne (CBD),2027,2338
Age 35-39,Female,Melbourne (CBD),2028,2560
Age 35-39,Female,Melbourne (CBD),2031,3218
Age 35-39,Female,Melbourne (CBD),2033,3140
Age 35-39,Female,Melbourne (CBD),2039,3523
Age 35-39,Male,Melbourne (CBD),2022,1774
Age 35-39,Male,Melbourne (CBD),2025,2445
Age 35-39,Male,Melbourne (CBD),2027,2934
Age 35-39,Male,Melbourne (CBD),2031,4041
Age 35-39,Male,Melbourne (CBD),2034,3989
Age 35-39,Male,Melbourne (CBD),2035,4030
Age 35-39,Male,Melbourne (CBD),2038,4423
Age 40-44,Female,Melbourne (CBD),2022,757
Age 40-44,Female,Melbourne (CBD),2026,1327
Age 40-44,Female,Melbourne (CBD),2029,1826
Age 40-44,Female,Melbourne (CBD),2030,1982
Age 40-44,Female,Melbourne (CBD),2038,3197
Age 40-44,Male,Melbourne (CBD),2030,2189
Age 40-44,Male,Melbourne (CBD),2031,2359
Age 40-44,Male,Melbourne (CBD),2033,2787
Age 40-44,Male,Melbourne (CBD),2038,3374
Age 40-44,Male,Melbourne (CBD),2040,3383
Age 40-44,Male,Melbourne (CBD),2041,3601
Age 45-49,Female,Melbourne (CBD),2023,707
Age 45-49,Female,Melbourne (CBD),2024,776
Age 45-49,Female,Melbourne (CBD),2025,845
Age 45-49,Female,Melbourne (CBD),2026,913
Age 45-49,Female,Melbourne (CBD),2031,1659
Age 45-49,Female,Melbourne (CBD),2034,2226
Age 45-49,Female,Melbourne (CBD),2035,2398
Age 45-49,Female,Melbourne (CBD),2036,2573
Age 45-49,Female,Melbourne (CBD),2040,3533
Age 45-49,Male,Melbourne (CBD),2021,540
Age 45-49,Male,Melbourne (CBD),2028,1043
Age 45-49,Male,Melbourne (CBD),2038,2653
Age 50-54,Female,Melbourne (CBD),2021,440
Age 50-54,Female,Melbourne (CBD),2026,599
Age 50-54,Female,Melbourne (CBD),2029,743
Age 50-54,Female,Melbourne (CBD),2031,848
Age 50-54,Female,Melbourne (CBD),2033,1034
Age 50-54,Female,Melbourne (CBD),2035,1284
Age 50-54,Female,Melbourne (CBD),2040,2037
Age 50-54,Female,Melbourne (CBD),2041,2166
Age 50-54,Male,Melbourne (CBD),2022,434
Age 50-54,Male,Melbourne (CBD),2026,571
Age 50-54,Male,Melbourne (CBD),2031,813
Age 50-54,Male,Melbourne (CBD),2032,897
Age 50-54,Male,Melbourne (CBD),2033,1003
Age 50-54,Male,Melbourne (CBD),2034,1101
Age 50-54,Male,Melbourne (CBD),2041,2069
Age 55-59,Female,Melbourne (CBD),2021,407
Age 55-59,Female,Melbourne (CBD),2034,727
Age 55-59,Female,Melbourne (CBD),2036,816
Age 55-59,Female,Melbourne (CBD),2037,902
Age 55-59,Female,Melbourne (CBD),2039,1099
Age 55-59,Male,Melbourne (CBD),2021,419
Age 55-59,Male,Melbourne (CBD),2023,445
Age 55-59,Male,Melbourne (CBD),2027,504
Age 55-59,Male,Melbourne (CBD),2030,587
Age 55-59,Male,Melbourne (CBD),2032,672
Age 55-59,Male,Melbourne (CBD),2034,755
Age 55-59,Male,Melbourne (CBD),2035,806
